,step,river_dirtiness,orchard_fruits,agent_1_action,agent_2_action,agent_1_reward,agent_2_reward
0,0,7,5,clean river,move north,0,0
1,1,7,5,move north,move west,0,0
2,2,7,5,move north,move north,0,0
3,3,7,5,move north,move north,0,0
4,4,7,5,move north,pick fruit,0,1
5,5,7,6,move north,move south,0,1
6,6,7,6,move south,move north,0,1
7,7,8,6,move north,pick fruit,0,2
8,8,8,5,move north,pick fruit,0,3
9,9,9,4,move north,pick fruit,0,4
10,10,9,4,move south,move south,0,4
11,11,9,4,move north,move north,0,4
12,12,9,2,pick fruit,pick fruit,1,5
13,13,9,1,move south,pick fruit,1,6
14,14,9,0,move south,pick fruit,1,7
15,15,9,0,move south,move south,1,7
16,16,9,0,move north,move south,1,7
17,17,9,0,move north,move south,1,7
18,18,9,0,move east,move north,1,7
19,19,9,0,move north,move south,1,7
20,20,9,0,move south,move north,1,7
21,21,9,0,move north,move south,1,7
22,22,9,0,move south,move south,1,7
23,23,9,0,move north,move south,1,7
24,24,9,0,move south,move south,1,7
25,25,9,0,move west,move south,1,7
26,26,9,0,move north,move north,1,7
27,27,9,0,move south,move south,1,7
28,28,8,1,move north,clean river,1,7
29,29,8,1,pick fruit,move north,2,7
30,30,9,1,move south,move north,2,7
31,31,9,1,move south,move south,2,7
32,32,9,1,move north,move south,2,7
33,33,8,1,move south,clean river,2,7
34,34,7,1,move south,clean river,2,7
35,35,8,1,move north,move north,2,7
36,36,9,1,move north,move north,2,7
37,37,9,1,move north,move north,2,7
38,38,9,0,pick fruit,move south,3,7
39,39,9,0,move south,move south,3,7
40,40,9,0,move north,move south,3,7
41,41,8,0,move south,clean river,3,7
42,42,8,0,move north,move north,3,7
43,43,8,0,move south,move north,3,7
44,44,9,1,move north,move north,3,7
45,45,9,1,move south,move east,3,7
46,46,9,1,move north,move west,3,7
47,47,9,1,move south,move north,3,7
48,48,9,1,move north,move north,3,7
49,49,9,0,pick fruit,move east,4,7
50,50,9,0,move south,move north,4,7
51,51,9,0,move south,move south,4,7
52,52,9,0,move south,move north,4,7
53,53,9,0,move south,move west,4,7
54,54,9,0,move south,move south,4,7
55,55,9,0,move north,move south,4,7
56,56,9,0,move south,move south,4,7
57,57,9,0,move south,move south,4,7
58,58,9,0,move north,move north,4,7
59,59,9,0,move south,move south,4,7
60,60,9,0,move north,move south,4,7
61,61,9,0,move south,move east,4,7
62,62,9,0,move north,move west,4,7
63,63,9,0,move south,move north,4,7
64,64,9,0,move south,move south,4,7
65,65,8,0,clean river,move north,4,7
66,66,7,1,clean river,move north,4,7
67,67,7,1,clean river,move north,4,7
68,68,7,1,move north,move south,4,7
69,69,7,2,move north,move south,4,7
70,70,8,2,move north,move north,4,7
71,71,8,3,move south,move north,4,7
72,72,8,3,move north,move north,4,7
73,73,8,4,move south,move north,4,7
74,74,8,4,move north,move north,4,7
75,75,8,4,move north,move south,4,7
76,76,8,4,move north,move north,4,7
77,77,9,3,move south,pick fruit,4,8
78,78,9,2,move north,pick fruit,4,9
79,79,9,1,move north,pick fruit,4,10
80,80,9,0,move south,pick fruit,4,11
81,81,9,0,move north,move south,4,11
82,82,9,0,move north,move north,4,11
83,83,9,0,move south,pick fruit,4,11
84,84,9,0,move north,pick fruit,4,11
85,85,9,0,move south,pick fruit,4,11
86,86,9,0,move south,move south,4,11
87,87,9,0,move south,move south,4,11
88,88,9,0,move south,move south,4,11
89,89,9,0,move north,move south,4,11
90,90,9,0,move north,move north,4,11
91,91,9,0,move south,move south,4,11
92,92,9,0,move south,move south,4,11
93,93,9,0,move south,move north,4,11
94,94,9,0,move south,move south,4,11
95,95,9,0,move south,move north,4,11
96,96,9,0,clean river,move south,4,11
97,97,8,0,clean river,move south,4,11
98,98,7,0,clean river,move north,4,11
99,99,6,0,clean river,move north,4,11
100,100,5,0,clean river,move north,4,11
101,101,5,1,move north,move north,4,11
102,102,5,1,move north,move north,4,11
103,103,5,1,move south,move north,4,11
104,104,5,0,move north,pick fruit,4,12
105,105,5,1,move south,pick fruit,4,12
106,106,5,2,move north,move south,4,12
107,107,5,2,move north,move north,4,12
108,108,6,1,move south,pick fruit,4,13
109,109,6,0,move south,pick fruit,4,14
110,110,6,0,move south,pick fruit,4,14
111,111,5,1,clean river,pick fruit,4,14
112,112,5,1,move north,move south,4,14
113,113,5,2,move south,move north,4,14
114,114,4,2,clean river,pick fruit,4,15
115,115,4,1,move north,pick fruit,4,16
116,116,4,1,move south,pick fruit,4,17
117,117,4,1,move north,pick fruit,4,18
118,118,4,2,move north,move east,4,18
119,119,4,2,move south,pick fruit,4,19
120,120,4,3,move north,move south,4,19
121,121,4,4,move north,move north,4,19
122,122,4,4,move north,pick fruit,4,20
123,123,5,3,move north,pick fruit,4,21
124,124,6,4,move north,move south,4,21
125,125,6,4,move north,move north,4,21
126,126,6,4,move south,move south,4,21
127,127,6,4,move north,move north,4,21
128,128,6,3,move south,pick fruit,4,22
129,129,6,3,move north,move south,4,22
130,130,7,3,move south,move north,4,22
131,131,7,3,move south,move south,4,22
132,132,7,3,move south,move north,4,22
133,133,7,3,move north,pick fruit,4,23
134,134,7,3,move north,move south,4,23
135,135,7,4,move north,move north,4,23
136,136,8,3,pick fruit,move south,5,23
137,137,8,2,pick fruit,move west,6,23
138,138,9,1,pick fruit,move north,7,23
139,139,9,1,move south,move south,7,23
140,140,9,1,move south,move south,7,23
141,141,9,1,move south,move south,7,23
142,142,9,1,move south,move north,7,23
143,143,9,1,move north,move north,7,23
144,144,9,1,move north,move north,7,23
145,145,9,1,move north,move south,7,23
146,146,9,1,move south,move south,7,23
147,147,9,1,move south,move north,7,23
148,148,9,1,move south,move north,7,23
149,149,9,1,move north,move south,7,23
150,150,9,1,move south,move south,7,23
151,151,9,1,move north,move south,7,23
152,152,9,1,move south,move north,7,23
153,153,9,1,move north,move north,7,23
154,154,9,1,move north,move north,7,23
155,155,9,1,move south,move south,7,23
156,156,9,1,move south,move east,7,23
157,157,9,1,move north,move north,7,23
158,158,9,0,move north,pick fruit,7,24
159,159,9,0,move south,move south,7,24
160,160,9,0,move north,move north,7,24
161,161,9,0,move north,move south,7,24
162,162,9,0,move north,move west,7,24
163,163,9,0,move south,move south,7,24
164,164,9,0,move north,move south,7,24
165,165,9,0,move south,move east,7,24
166,166,9,0,move south,move north,7,24
167,167,9,0,move south,move north,7,24
168,168,9,0,move north,move north,7,24
169,169,9,0,move north,move south,7,24
170,170,9,0,move north,move north,7,24
171,171,9,0,pick fruit,move south,7,24
172,172,9,0,pick fruit,move north,7,24
173,173,9,0,move south,move south,7,24
174,174,9,0,move south,move south,7,24
175,175,9,0,move south,move north,7,24
176,176,9,0,move north,move west,7,24
177,177,9,0,move south,move north,7,24
178,178,9,0,move north,pick fruit,7,24
179,179,9,0,move south,move south,7,24
180,180,9,0,move north,move north,7,24
181,181,9,0,move south,move south,7,24
182,182,9,0,move south,move south,7,24
183,183,9,0,move south,move east,7,24
184,184,9,0,move north,move west,7,24
185,185,9,0,move north,move south,7,24
186,186,9,0,move south,move south,7,24
187,187,9,0,move south,move north,7,24
188,188,9,0,move north,move east,7,24
189,189,9,0,move south,move west,7,24
190,190,9,0,move north,move north,7,24
191,191,9,0,move south,move north,7,24
192,192,9,0,move south,move north,7,24
193,193,9,0,move south,pick fruit,7,24
194,194,8,1,clean river,move south,7,24
195,195,8,1,clean river,move south,7,24
196,196,7,1,clean river,move north,7,24
197,197,6,1,clean river,move north,7,24
198,198,6,1,move north,move south,7,24
199,199,6,1,move north,move south,7,24
