,step,river_dirtiness,orchard_fruits,agent_1_action,agent_2_action,agent_1_reward,agent_2_reward
0,0,8,4,move south,move north,0,0
1,1,8,4,move north,move north,0,0
2,2,8,4,move south,move north,0,0
3,3,8,4,move north,move north,0,0
4,4,8,3,pick fruit,move north,1,0
5,5,8,3,move south,move north,1,0
6,6,8,3,move north,move north,1,0
7,7,8,2,move south,pick fruit,1,1
8,8,8,1,move north,pick fruit,1,2
9,9,8,0,move south,pick fruit,1,3
10,10,8,1,move north,pick fruit,1,3
11,11,8,0,move south,pick fruit,1,4
12,12,8,1,move north,pick fruit,1,4
13,13,8,0,move south,pick fruit,1,5
14,14,8,1,move north,pick fruit,1,5
15,15,8,1,move south,pick fruit,1,6
16,16,8,0,move north,pick fruit,1,7
17,17,8,0,move south,pick fruit,1,7
18,18,8,1,move north,pick fruit,1,7
19,19,9,0,move south,pick fruit,1,8
20,20,9,0,move south,pick fruit,1,8
21,21,9,0,move north,pick fruit,1,8
22,22,9,0,move north,pick fruit,1,8
23,23,9,0,move south,pick fruit,1,8
24,24,9,0,move north,pick fruit,1,8
25,25,9,0,move south,pick fruit,1,8
26,26,9,0,move north,pick fruit,1,8
27,27,9,0,move south,pick fruit,1,8
28,28,9,0,move north,pick fruit,1,8
29,29,9,0,move south,pick fruit,1,8
30,30,9,0,move north,pick fruit,1,8
31,31,9,0,move south,pick fruit,1,8
32,32,9,0,move north,move south,1,8
33,33,9,0,move south,move north,1,8
34,34,9,0,move north,pick fruit,1,8
35,35,9,0,move south,pick fruit,1,8
36,36,9,0,move north,pick fruit,1,8
37,37,9,0,move south,pick fruit,1,8
38,38,9,0,move south,pick fruit,1,8
39,39,9,0,move north,pick fruit,1,8
40,40,9,0,move north,move south,1,8
41,41,9,0,move south,move north,1,8
42,42,9,0,move south,pick fruit,1,8
43,43,9,0,move south,pick fruit,1,8
44,44,9,0,move south,pick fruit,1,8
45,45,9,0,move north,pick fruit,1,8
46,46,9,0,move north,pick fruit,1,8
47,47,9,0,move north,pick fruit,1,8
48,48,9,0,move south,pick fruit,1,8
49,49,9,0,move north,pick fruit,1,8
50,50,9,0,move north,pick fruit,1,8
