,step,river_dirtiness,orchard_fruits,agent_1_action,agent_2_action,agent_1_reward,agent_2_reward
0,0,8,5,move north,move north,0,0
1,1,9,4,pick fruit,move north,1,0
2,2,9,3,pick fruit,move north,2,0
3,3,9,1,pick fruit,pick fruit,3,1
4,4,9,0,pick fruit,pick fruit,4,1
5,5,9,0,pick fruit,pick fruit,4,1
6,6,9,0,pick fruit,pick fruit,4,1
7,7,9,0,pick fruit,pick fruit,4,1
8,8,9,0,pick fruit,pick fruit,4,1
9,9,9,0,pick fruit,pick fruit,4,1
10,10,9,0,pick fruit,pick fruit,4,1
11,11,9,0,pick fruit,pick fruit,4,1
12,12,9,0,pick fruit,pick fruit,4,1
13,13,9,0,pick fruit,pick fruit,4,1
14,14,9,0,pick fruit,pick fruit,4,1
15,15,9,0,pick fruit,move south,4,1
16,16,9,0,pick fruit,move south,4,1
17,17,9,0,pick fruit,move north,4,1
18,18,9,0,move south,move north,4,1
19,19,9,0,move north,pick fruit,4,1
20,20,9,0,pick fruit,pick fruit,4,1
21,21,9,0,pick fruit,pick fruit,4,1
22,22,9,0,pick fruit,pick fruit,4,1
23,23,9,0,pick fruit,pick fruit,4,1
24,24,9,0,pick fruit,move south,4,1
25,25,9,0,pick fruit,move south,4,1
26,26,9,0,move south,move south,4,1
27,27,9,0,move north,move north,4,1
28,28,9,0,pick fruit,move north,4,1
29,29,9,0,pick fruit,move north,4,1
30,30,9,0,pick fruit,pick fruit,4,1
31,31,9,0,pick fruit,pick fruit,4,1
32,32,9,0,pick fruit,pick fruit,4,1
33,33,9,0,pick fruit,pick fruit,4,1
34,34,9,0,pick fruit,pick fruit,4,1
35,35,9,0,pick fruit,pick fruit,4,1
36,36,9,0,pick fruit,pick fruit,4,1
37,37,9,0,pick fruit,pick fruit,4,1
38,38,9,0,pick fruit,pick fruit,4,1
39,39,9,0,pick fruit,pick fruit,4,1
40,40,9,0,pick fruit,pick fruit,4,1
41,41,9,0,pick fruit,pick fruit,4,1
42,42,9,0,pick fruit,pick fruit,4,1
43,43,9,0,pick fruit,pick fruit,4,1
44,44,9,0,pick fruit,pick fruit,4,1
45,45,9,0,pick fruit,pick fruit,4,1
46,46,9,0,pick fruit,pick fruit,4,1
47,47,9,0,pick fruit,pick fruit,4,1
48,48,9,0,move south,pick fruit,4,1
49,49,9,0,move north,move south,4,1
50,50,9,0,pick fruit,move north,4,1
51,51,9,0,move south,pick fruit,4,1
52,52,9,0,move north,pick fruit,4,1
53,53,9,0,pick fruit,pick fruit,4,1
54,54,9,0,pick fruit,pick fruit,4,1
55,55,9,0,pick fruit,pick fruit,4,1
56,56,9,0,pick fruit,pick fruit,4,1
57,57,9,0,pick fruit,pick fruit,4,1
58,58,9,0,pick fruit,move south,4,1
59,59,9,0,move south,move south,4,1
60,60,9,0,move east,move north,4,1
61,61,9,0,move north,move north,4,1
62,62,9,0,pick fruit,pick fruit,4,1
63,63,9,0,move south,pick fruit,4,1
64,64,9,0,move north,pick fruit,4,1
65,65,9,0,pick fruit,pick fruit,4,1
66,66,9,0,pick fruit,pick fruit,4,1
67,67,9,0,pick fruit,pick fruit,4,1
68,68,9,0,pick fruit,pick fruit,4,1
69,69,9,0,move south,pick fruit,4,1
70,70,9,0,move west,pick fruit,4,1
71,71,9,0,move north,pick fruit,4,1
72,72,9,0,pick fruit,pick fruit,4,1
73,73,9,0,pick fruit,pick fruit,4,1
74,74,9,0,pick fruit,pick fruit,4,1
75,75,9,0,pick fruit,pick fruit,4,1
76,76,9,0,pick fruit,pick fruit,4,1
77,77,9,0,pick fruit,pick fruit,4,1
78,78,9,0,pick fruit,pick fruit,4,1
79,79,9,0,pick fruit,pick fruit,4,1
80,80,9,0,pick fruit,pick fruit,4,1
81,81,9,0,pick fruit,pick fruit,4,1
82,82,9,0,pick fruit,pick fruit,4,1
83,83,9,0,pick fruit,pick fruit,4,1
84,84,9,0,pick fruit,pick fruit,4,1
85,85,9,0,pick fruit,pick fruit,4,1
86,86,9,0,pick fruit,pick fruit,4,1
87,87,9,0,pick fruit,pick fruit,4,1
88,88,9,0,pick fruit,pick fruit,4,1
89,89,9,0,pick fruit,pick fruit,4,1
90,90,9,0,pick fruit,pick fruit,4,1
91,91,9,0,pick fruit,pick fruit,4,1
92,92,9,0,pick fruit,pick fruit,4,1
93,93,9,0,pick fruit,pick fruit,4,1
94,94,9,0,pick fruit,pick fruit,4,1
95,95,9,0,pick fruit,pick fruit,4,1
96,96,9,0,pick fruit,pick fruit,4,1
97,97,9,0,pick fruit,pick fruit,4,1
98,98,9,0,pick fruit,pick fruit,4,1
99,99,9,0,pick fruit,pick fruit,4,1
100,100,9,0,pick fruit,pick fruit,4,1
101,101,9,0,pick fruit,pick fruit,4,1
102,102,9,0,pick fruit,pick fruit,4,1
103,103,9,0,pick fruit,pick fruit,4,1
104,104,9,0,pick fruit,pick fruit,4,1
105,105,9,0,pick fruit,pick fruit,4,1
106,106,9,0,pick fruit,pick fruit,4,1
107,107,9,0,pick fruit,pick fruit,4,1
108,108,9,0,pick fruit,move south,4,1
109,109,9,0,pick fruit,move north,4,1
110,110,9,0,pick fruit,pick fruit,4,1
111,111,9,0,pick fruit,pick fruit,4,1
112,112,9,0,move south,pick fruit,4,1
113,113,9,0,move north,move south,4,1
114,114,9,0,move south,move north,4,1
115,115,9,0,move east,pick fruit,4,1
116,116,9,0,move west,pick fruit,4,1
117,117,9,0,move north,pick fruit,4,1
118,118,9,0,pick fruit,pick fruit,4,1
119,119,9,0,pick fruit,pick fruit,4,1
120,120,9,0,pick fruit,pick fruit,4,1
121,121,9,0,pick fruit,pick fruit,4,1
122,122,9,0,pick fruit,pick fruit,4,1
123,123,9,0,pick fruit,pick fruit,4,1
124,124,9,0,pick fruit,pick fruit,4,1
125,125,9,0,pick fruit,pick fruit,4,1
126,126,9,0,pick fruit,pick fruit,4,1
127,127,9,0,pick fruit,pick fruit,4,1
128,128,9,0,pick fruit,pick fruit,4,1
129,129,9,0,pick fruit,pick fruit,4,1
130,130,9,0,pick fruit,pick fruit,4,1
131,131,9,0,pick fruit,pick fruit,4,1
132,132,9,0,pick fruit,pick fruit,4,1
133,133,9,0,pick fruit,pick fruit,4,1
134,134,9,0,pick fruit,pick fruit,4,1
135,135,9,0,pick fruit,pick fruit,4,1
136,136,9,0,pick fruit,pick fruit,4,1
137,137,9,0,pick fruit,pick fruit,4,1
138,138,9,0,pick fruit,pick fruit,4,1
139,139,9,0,pick fruit,pick fruit,4,1
140,140,9,0,pick fruit,pick fruit,4,1
141,141,9,0,pick fruit,pick fruit,4,1
142,142,9,0,pick fruit,pick fruit,4,1
143,143,9,0,pick fruit,pick fruit,4,1
144,144,9,0,pick fruit,pick fruit,4,1
145,145,9,0,pick fruit,pick fruit,4,1
146,146,9,0,pick fruit,pick fruit,4,1
147,147,9,0,pick fruit,pick fruit,4,1
148,148,9,0,pick fruit,pick fruit,4,1
149,149,9,0,move south,pick fruit,4,1
150,150,9,0,move north,pick fruit,4,1
151,151,9,0,pick fruit,pick fruit,4,1
152,152,9,0,pick fruit,pick fruit,4,1
153,153,9,0,pick fruit,pick fruit,4,1
154,154,9,0,pick fruit,move south,4,1
155,155,9,0,pick fruit,move north,4,1
156,156,9,0,pick fruit,pick fruit,4,1
157,157,9,0,pick fruit,pick fruit,4,1
158,158,9,0,pick fruit,pick fruit,4,1
159,159,9,0,pick fruit,pick fruit,4,1
160,160,9,0,pick fruit,pick fruit,4,1
161,161,9,0,pick fruit,pick fruit,4,1
162,162,9,0,pick fruit,pick fruit,4,1
163,163,9,0,pick fruit,pick fruit,4,1
164,164,9,0,pick fruit,pick fruit,4,1
165,165,9,0,pick fruit,pick fruit,4,1
166,166,9,0,pick fruit,pick fruit,4,1
167,167,9,0,pick fruit,pick fruit,4,1
168,168,9,0,pick fruit,pick fruit,4,1
169,169,9,0,pick fruit,pick fruit,4,1
170,170,9,0,pick fruit,pick fruit,4,1
171,171,9,0,pick fruit,pick fruit,4,1
172,172,9,0,pick fruit,pick fruit,4,1
173,173,9,0,pick fruit,pick fruit,4,1
174,174,9,0,move south,pick fruit,4,1
175,175,9,0,move north,pick fruit,4,1
176,176,9,0,pick fruit,pick fruit,4,1
177,177,9,0,pick fruit,pick fruit,4,1
178,178,9,0,pick fruit,pick fruit,4,1
179,179,9,0,pick fruit,pick fruit,4,1
180,180,9,0,pick fruit,pick fruit,4,1
181,181,9,0,pick fruit,pick fruit,4,1
182,182,9,0,pick fruit,pick fruit,4,1
183,183,9,0,pick fruit,pick fruit,4,1
184,184,9,0,pick fruit,pick fruit,4,1
185,185,9,0,pick fruit,pick fruit,4,1
186,186,9,0,pick fruit,pick fruit,4,1
187,187,9,0,pick fruit,pick fruit,4,1
188,188,9,0,pick fruit,pick fruit,4,1
189,189,9,0,pick fruit,pick fruit,4,1
190,190,9,0,pick fruit,pick fruit,4,1
191,191,9,0,pick fruit,pick fruit,4,1
192,192,9,0,pick fruit,pick fruit,4,1
193,193,9,0,pick fruit,pick fruit,4,1
194,194,9,0,pick fruit,pick fruit,4,1
195,195,9,0,pick fruit,pick fruit,4,1
196,196,9,0,pick fruit,pick fruit,4,1
197,197,9,0,pick fruit,pick fruit,4,1
198,198,9,0,pick fruit,move south,4,1
199,199,9,0,pick fruit,move south,4,1
