step,agent_action,river_dirtiness,orchard_fruits,agent_reward
0,move north,8,4,0
1,move north,9,4,0
2,move north,9,4,0
3,move north,9,4,0
4,pick fruit,9,4,0
5,pick fruit,9,3,1
6,pick fruit,9,2,2
7,pick fruit,9,1,3
8,move south,9,0,4
9,move south,9,0,4
10,move south,9,0,4
11,move south,9,0,4
12,move south,9,0,4
13,move south,9,0,4
14,move south,9,0,4
15,clean river,9,0,4
16,clean river,8,0,4
17,clean river,7,0,4
18,move north,6,0,4
19,move south,7,0,4
20,move north,7,1,4
21,move south,7,1,4
22,move north,7,1,4
23,move south,7,1,4
24,move north,7,1,4
25,move south,7,1,4
26,move north,8,1,4
27,move south,8,1,4
28,move north,8,1,4
29,move north,9,1,4
30,move north,9,1,4
31,move north,9,1,4
32,move south,9,1,4
33,move north,9,1,4
34,move south,9,1,4
35,move north,9,1,4
36,move south,9,1,4
37,move north,9,1,4
38,move south,9,1,4
39,move north,9,1,4
40,move north,9,1,4
41,move north,9,1,4
42,move south,9,1,4
43,move north,9,1,4
44,move north,9,1,4
45,pick fruit,9,1,4
46,move south,9,0,5
47,move south,9,0,5
48,move south,9,0,5
49,move south,9,0,5
50,move south,9,0,5
51,move south,9,0,5
52,move south,9,0,5
53,move north,9,0,5
54,move south,9,0,5
55,clean river,9,0,5
56,move north,8,0,5
57,move south,8,0,5
58,clean river,9,0,5
59,clean river,8,0,5
60,move north,7,0,5
61,move south,8,0,5
62,clean river,8,0,5
63,clean river,7,1,5
64,move north,6,1,5
65,move north,6,1,5
66,move north,7,2,5
67,move north,7,2,5
68,move south,7,2,5
69,move north,8,2,5
70,move north,8,2,5
71,move south,8,2,5
72,move north,8,3,5
73,move north,8,3,5
74,move north,8,3,5
75,pick fruit,9,3,5
76,pick fruit,9,2,6
77,pick fruit,9,1,7
78,move south,9,0,8
79,move south,9,0,8
80,move south,9,0,8
81,move south,9,0,8
82,move south,9,0,8
83,move south,9,0,8
84,move south,9,0,8
85,clean river,9,0,8
86,clean river,8,0,8
87,move north,7,0,8
88,move south,7,0,8
89,move north,7,1,8
90,move north,7,2,8
91,move south,8,2,8
92,move north,8,2,8
93,move north,9,2,8
94,move north,9,2,8
95,move north,9,2,8
96,move north,9,2,8
97,move north,9,2,8
98,pick fruit,9,2,8
99,pick fruit,9,1,9
